op_type, op_index, network_size, n_connections, total_time
join, 0, 1, 0, 0
join, 1, 2, 67, 19.809657732499712
lookup, 2, 2, 2, 0.600292658560597
lookup, 3, 2, 3, 1.200585317121194
lookup, 4, 2, 2, 0.600292658560597
lookup, 5, 2, 3, 1.200585317121194
lookup, 6, 2, 3, 1.200585317121194
lookup, 7, 2, 2, 0.600292658560597
join, 8, 3, 74, 42.70422905536884
join, 9, 4, 93, 77.04027116406645
join, 10, 5, 79, 42.44897105426586
lookup, 11, 5, 3, 1.938230826809434
lookup, 12, 5, 3, 2.6560220482049806
join, 13, 6, 81, 48.10374784839909
join, 14, 7, 88, 46.3116062776494
lookup, 15, 7, 3, 4.198757731025306
lookup, 16, 7, 4, 1.3463824693783875
lookup, 17, 7, 4, 2.1974549879778413
join, 18, 8, 106, 77.15030909758659
lookup, 19, 8, 5, 3.814505559995034
lookup, 20, 8, 3, 2.4433004957634905
join, 21, 9, 112, 78.22694521926658
join, 22, 10, 107, 73.44975935845734
lookup, 23, 10, 4, 2.557244296892879
lookup, 24, 10, 3, 0.9421789397246672
lookup, 25, 10, 3, 1.2063943059285784
lookup, 26, 10, 5, 3.520401608311325
lookup, 27, 10, 3, 1.9737673193048757
lookup, 28, 10, 2, 0.2507528930008791
lookup, 29, 10, 3, 2.372721786326708
lookup, 30, 10, 4, 1.914999559713949
join, 31, 11, 107, 73.99930850052692
lookup, 32, 11, 4, 1.914999559713949
lookup, 33, 11, 3, 1.4262553976561774
lookup, 34, 11, 4, 2.891264516989889
join, 35, 12, 117, 96.82547447483992
lookup, 36, 12, 3, 1.5010881240935723
join, 37, 13, 124, 58.49824022084465
lookup, 38, 13, 4, 4.106091127758072
lookup, 39, 13, 6, 2.190224292925844
lookup, 40, 13, 4, 2.454707185130726
lookup, 41, 13, 4, 2.0280034925985877
lookup, 42, 13, 4, 2.562498843921931
lookup, 43, 13, 2, 1.0334555510946597
join, 44, 14, 125, 86.40899809390574
join, 45, 15, 119, 69.26692347827633
lookup, 46, 15, 4, 3.9980172925230333
lookup, 47, 15, 3, 2.1155802266724493
